id_monitoreo,id_tiempo,id_metrica,id_area,valor,fuente
1,20180101,1,1,21202242.14,ventas
97,20180101,2,1,13352657.28,compras
193,20180101,3,1,416421.04000000004,personal_nomina
289,20180101,4,1,8689.9,consumo_energetico
385,20180101,5,1,12.325801186235168,residuos
512,20180101,7,1,24,eventos_rrhh
608,20180101,8,1,1,eventos_rrhh
2,20180201,1,1,20960344.18,ventas
98,20180201,2,1,12917303.66,compras
194,20180201,3,1,416918.3,personal_nomina
290,20180201,4,1,8092.1,consumo_energetico
386,20180201,5,1,11.645375195147324,residuos
513,20180201,7,1,32,eventos_rrhh
609,20180201,8,1,5,eventos_rrhh
3,20180301,1,1,23108722.32,ventas
99,20180301,2,1,14055703.58,compras
195,20180301,3,1,417934.59,personal_nomina
291,20180301,4,1,9039.8,consumo_energetico
387,20180301,5,1,11.676344010448721,residuos
514,20180301,7,1,8,eventos_rrhh
610,20180301,8,1,16,eventos_rrhh
4,20180401,1,1,26818828.47,ventas
100,20180401,2,1,16637859.34,compras
196,20180401,3,1,417541.67,personal_nomina
292,20180401,4,1,9302.8,consumo_energetico
388,20180401,5,1,12.225070517966737,residuos
515,20180401,7,1,8,eventos_rrhh
611,20180401,8,1,9,eventos_rrhh
5,20180501,1,1,41108594.95,ventas
101,20180501,2,1,24530575.69,compras
197,20180501,3,1,414072.95,personal_nomina
293,20180501,4,1,12266.916,consumo_energetico
389,20180501,5,1,12.44804319227277,residuos
516,20180501,7,1,48,eventos_rrhh
612,20180501,8,1,7,eventos_rrhh
6,20180601,1,1,24418449.79,ventas
102,20180601,2,1,14362880.06,compras
198,20180601,3,1,418128.35,personal_nomina
294,20180601,4,1,13542.436000000002,consumo_energetico
390,20180601,5,1,12.542154375325728,residuos
481,20180601,6,1,6.957142857142857,encuestas
517,20180601,7,1,40,eventos_rrhh
613,20180601,8,1,0,eventos_rrhh
7,20180701,1,1,41045233.14,ventas
103,20180701,2,1,23694596.22,compras
199,20180701,3,1,418321.44,personal_nomina
295,20180701,4,1,12861.139,consumo_energetico
391,20180701,5,1,11.89763401910744,residuos
518,20180701,7,1,0,eventos_rrhh
614,20180701,8,1,1,eventos_rrhh
8,20180801,1,1,23800847.11,ventas
104,20180801,2,1,14319408.56,compras
200,20180801,3,1,417614.71,personal_nomina
296,20180801,4,1,12261.136,consumo_energetico
392,20180801,5,1,12.118344566038038,residuos
519,20180801,7,1,16,eventos_rrhh
615,20180801,8,1,0,eventos_rrhh
9,20180901,1,1,34849846.53,ventas
105,20180901,2,1,20693723.84,compras
201,20180901,3,1,415646.54000000004,personal_nomina
297,20180901,4,1,11471.885,consumo_energetico
393,20180901,5,1,12.055247985404193,residuos
482,20180901,6,1,,encuestas
520,20180901,7,1,0,eventos_rrhh
616,20180901,8,1,0,eventos_rrhh
10,20181001,1,1,38966734.97,ventas
106,20181001,2,1,24627254.73,compras
202,20181001,3,1,416019.53,personal_nomina
298,20181001,4,1,8112.6,consumo_energetico
394,20181001,5,1,11.776407239045973,residuos
521,20181001,7,1,32,eventos_rrhh
617,20181001,8,1,0,eventos_rrhh
11,20181101,1,1,35514007.37,ventas
107,20181101,2,1,22394758.8,compras
203,20181101,3,1,415479.78,personal_nomina
299,20181101,4,1,7718.0,consumo_energetico
395,20181101,5,1,12.062576982849748,residuos
522,20181101,7,1,24,eventos_rrhh
618,20181101,8,1,5,eventos_rrhh
12,20181201,1,1,41537400.26,ventas
108,20181201,2,1,26061461.9,compras
204,20181201,3,1,625232.89,personal_nomina
300,20181201,4,1,7920.6,consumo_energetico
396,20181201,5,1,12.495429606429669,residuos
483,20181201,6,1,6.914285714285714,encuestas
523,20181201,7,1,0,eventos_rrhh
619,20181201,8,1,0,eventos_rrhh
13,20190101,1,1,36728609.67,ventas
109,20190101,2,1,22267935.9,compras
205,20190101,3,1,618280.5,personal_nomina
301,20190101,4,1,8388.7,consumo_energetico
397,20190101,5,1,12.084753180376312,residuos
524,20190101,7,1,24,eventos_rrhh
620,20190101,8,1,1,eventos_rrhh
14,20190201,1,1,36353623.38,ventas
110,20190201,2,1,22005103.59,compras
206,20190201,3,1,617959.37,personal_nomina
302,20190201,4,1,8265.6,consumo_energetico
398,20190201,5,1,12.464453569076356,residuos
525,20190201,7,1,40,eventos_rrhh
621,20190201,8,1,0,eventos_rrhh
15,20190301,1,1,38677365.22,ventas
111,20190301,2,1,23288176.41,compras
207,20190301,3,1,665068.71,personal_nomina
303,20190301,4,1,8945.8,consumo_energetico
399,20190301,5,1,12.227646791637808,residuos
484,20190301,6,1,,encuestas
526,20190301,7,1,24,eventos_rrhh
622,20190301,8,1,0,eventos_rrhh
16,20190401,1,1,45690550.15,ventas
112,20190401,2,1,27687176.84,compras
208,20190401,3,1,664822.12,personal_nomina
304,20190401,4,1,8486.1,consumo_energetico
400,20190401,5,1,11.740334749579537,residuos
527,20190401,7,1,4,eventos_rrhh
623,20190401,8,1,0,eventos_rrhh
17,20190501,1,1,61461030.48,ventas
113,20190501,2,1,36058500.94,compras
209,20190501,3,1,667073.46,personal_nomina
305,20190501,4,1,11932.020999999999,consumo_energetico
401,20190501,5,1,11.788448609063417,residuos
528,20190501,7,1,16,eventos_rrhh
624,20190501,8,1,0,eventos_rrhh
18,20190601,1,1,43572693.28,ventas
114,20190601,2,1,26243599.810000002,compras
210,20190601,3,1,668311.21,personal_nomina
306,20190601,4,1,12705.874,consumo_energetico
402,20190601,5,1,11.943293695400515,residuos
485,20190601,6,1,7.25,encuestas
529,20190601,7,1,24,eventos_rrhh
625,20190601,8,1,0,eventos_rrhh
19,20190701,1,1,57429606.69,ventas
115,20190701,2,1,33684977.84,compras
211,20190701,3,1,713447.72,personal_nomina
307,20190701,4,1,12706.238,consumo_energetico
403,20190701,5,1,12.389521246924945,residuos
530,20190701,7,1,52,eventos_rrhh
626,20190701,8,1,0,eventos_rrhh
20,20190801,1,1,41287212.58,ventas
116,20190801,2,1,24482025.72,compras
212,20190801,3,1,712183.39,personal_nomina
308,20190801,4,1,11680.952000000001,consumo_energetico
404,20190801,5,1,12.214850881113604,residuos
531,20190801,7,1,32,eventos_rrhh
627,20190801,8,1,0,eventos_rrhh
21,20190901,1,1,46360562.99,ventas
117,20190901,2,1,27344144.07,compras
213,20190901,3,1,712166.72,personal_nomina
309,20190901,4,1,11567.565999999999,consumo_energetico
405,20190901,5,1,11.767933386468282,residuos
486,20190901,6,1,,encuestas
532,20190901,7,1,0,eventos_rrhh
628,20190901,8,1,0,eventos_rrhh
22,20191001,1,1,56347572.49,ventas
118,20191001,2,1,34984186.56,compras
214,20191001,3,1,672139.5,personal_nomina
310,20191001,4,1,8288.1,consumo_energetico
406,20191001,5,1,12.267048420818801,residuos
533,20191001,7,1,0,eventos_rrhh
629,20191001,8,1,0,eventos_rrhh
23,20191101,1,1,62690274.17,ventas
119,20191101,2,1,37019491.76,compras
215,20191101,3,1,674475.49,personal_nomina
311,20191101,4,1,7694.0,consumo_energetico
407,20191101,5,1,12.22427846846319,residuos
534,20191101,7,1,8,eventos_rrhh
630,20191101,8,1,0,eventos_rrhh
24,20191201,1,1,82656906.62,ventas
120,20191201,2,1,48894638.65,compras
216,20191201,3,1,1007098.1,personal_nomina
312,20191201,4,1,7590.3,consumo_energetico
408,20191201,5,1,12.295704349341104,residuos
487,20191201,6,1,6.5375,encuestas
535,20191201,7,1,44,eventos_rrhh
631,20191201,8,1,0,eventos_rrhh
25,20200101,1,1,66492851.44,ventas
121,20200101,2,1,40718723.47,compras
217,20200101,3,1,1018721.39,personal_nomina
313,20200101,4,1,7815.5,consumo_energetico
409,20200101,5,1,12.284685017346893,residuos
536,20200101,7,1,0,eventos_rrhh
632,20200101,8,1,7,eventos_rrhh
26,20200201,1,1,77536061.02,ventas
122,20200201,2,1,44393962.98,compras
218,20200201,3,1,1030512.92,personal_nomina
314,20200201,4,1,7959.6,consumo_energetico
410,20200201,5,1,11.383514386795616,residuos
537,20200201,7,1,56,eventos_rrhh
633,20200201,8,1,1,eventos_rrhh
27,20200301,1,1,2570114.87,ventas
123,20200301,2,1,1549807.63,compras
219,20200301,3,1,956041.48,personal_nomina
315,20200301,4,1,3541.4,consumo_energetico
411,20200301,5,1,11.852913795474073,residuos
488,20200301,6,1,,encuestas
538,20200301,7,1,0,eventos_rrhh
634,20200301,8,1,2,eventos_rrhh
28,20200401,1,1,1772652.24,ventas
124,20200401,2,1,1028414.19,compras
220,20200401,3,1,958083.15,personal_nomina
316,20200401,4,1,3721.3,consumo_energetico
412,20200401,5,1,28.35390881201735,residuos
539,20200401,7,1,8,eventos_rrhh
635,20200401,8,1,0,eventos_rrhh
29,20200501,1,1,5508116.109999999,ventas
125,20200501,2,1,3176190.0100000002,compras
221,20200501,3,1,955871.12,personal_nomina
317,20200501,4,1,6951.817,consumo_energetico
413,20200501,5,1,27.25842624527306,residuos
540,20200501,7,1,0,eventos_rrhh
636,20200501,8,1,7,eventos_rrhh
30,20200601,1,1,27097608.68,ventas
126,20200601,2,1,16482388.290000001,compras
222,20200601,3,1,961954.88,personal_nomina
318,20200601,4,1,8748.386,consumo_energetico
414,20200601,5,1,27.708523552755544,residuos
489,20200601,6,1,5.8375,encuestas
541,20200601,7,1,40,eventos_rrhh
637,20200601,8,1,0,eventos_rrhh
31,20200701,1,1,45398548.89,ventas
127,20200701,2,1,29027391.99,compras
223,20200701,3,1,960793.37,personal_nomina
